Number,Microphone,ACI,ADI,AEI,BI,H,NDSI
1,AM,1831.80693,1.928349959,0.465839,5.746619625,0.804080479,0.70084825
2,AM,1829.962004,1.838273109,0.514723,5.453268872,0.785653784,0.650409424
3,AM,1830.60529,1.745573361,0.561216,5.597626856,0.76478227,0.712572567
4,AM,1827.268711,1.708139959,0.572489,6.963044341,0.714762524,0.700434186
5,AM,1823.975054,1.582365707,0.626809,5.70871557,0.715912418,0.514006457
6,AM,1829.82216,1.819118931,0.519308,6.919349567,0.775879691,0.59199263
7,AM,1821.20143,1.635891018,0.598321,5.939866269,0.791023392,0.266497547
8,AM,1816.50262,1.96914809,0.439863,4.812190134,0.826604153,-0.097779556
9,AM,1814.314156,2.017360517,0.411882,4.493510535,0.82544967,-0.021283218
10,AM,1808.452819,1.886647728,0.490042,4.549399919,0.790726805,0.010136667
11,AM,1812.796008,1.43576974,0.678099,4.406122817,0.736587215,0.22442808
12,AM,1814.674163,1.399566987,0.69072,5.666743128,0.699693214,0.058244807
13,AM,1807.14272,1.14801962,0.759447,3.968896479,0.656739702,-0.181012321
14,AM,1813.944428,1.130390472,0.764147,4.720497781,0.651823533,-0.128662257
15,AM,1812.187161,1.272172649,0.729192,5.533927798,0.649678772,-0.228087076
16,AM,1817.228838,1.236527989,0.735637,4.78280917,0.654277953,-0.260709681
17,AM,1817.756294,1.521327908,0.649038,5.605051473,0.697652423,0.116543285
18,AM,1828.386115,1.576936786,0.627443,5.912800466,0.698502339,0.142013296
19,AM,1827.172726,1.615315557,0.613125,5.398299811,0.732937741,-0.039360312
20,AM,1818.208622,1.610401116,0.607314,4.440920816,0.749654738,-0.156807453
21,AM,1817.320242,1.599583337,0.618652,5.670947212,0.724153373,-0.013194977
22,AM,1815.178646,1.382305301,0.696797,5.375877081,0.671905297,-0.091260603
23,AM,1817.161457,1.314618041,0.716599,5.17075153,0.646638247,-0.335066474
24,AM,1815.805436,1.008713127,0.787955,4.38735658,0.627421803,-0.283495408
25,AM,1812.824822,1.327315675,0.705631,4.219612123,0.672274557,-0.150293274
26,AM,1811.111583,1.290222708,0.715644,3.799060161,0.695582775,-0.142350579
27,AM,1814.706658,1.364154044,0.693739,3.406710923,0.716855343,-0.095679009
28,AM,1821.265586,1.412882969,0.684482,3.878661531,0.692554009,-0.005150164
29,AM,1813.149231,1.195981488,0.741201,2.68422692,0.702316408,-0.266531481
30,AM,1811.235542,1.359553496,0.699444,2.883649954,0.715323886,-0.252508779
31,AM,1812.045901,1.558731419,0.634802,3.659974774,0.711599062,-0.251096321
32,AM,1816.311258,1.605236412,0.618458,4.441695181,0.712266057,-0.214300044
33,AM,1813.519551,0.674259414,0.841818,3.678378426,0.688703004,-0.113307959
34,AM,1815.619765,1.370447629,0.696558,4.102464842,0.681926343,-0.420654195
35,AM,1809.798926,1.22445646,0.7338,3.646576976,0.666946559,-0.173808408
36,AM,1808.521172,1.177437788,0.749718,4.886924652,0.618714393,-0.30046812
37,AM,1805.353685,1.165908882,0.751479,4.144959615,0.604352206,-0.318541501
38,AM,1812.104644,1.224193278,0.736828,4.386918917,0.640408101,-0.255713624
39,AM,1818.73867,1.710599739,0.575346,6.138381849,0.714603183,0.114426588
40,AM,1828.131545,1.809579651,0.532843,6.915037274,0.754699107,0.599557892
41,AM,1824.803697,1.738888929,0.563704,5.866911489,0.762561627,0.62935654
42,AM,1826.656889,1.969385783,0.443376,6.579203747,0.777425365,0.508969587
43,AM,1844.67162,1.823947972,0.527342,8.397080305,0.784815434,0.850331477
44,AM,1819.466022,1.730055719,0.565567,6.079555346,0.766132622,0.458871725
45,AM,1828.881771,1.891891824,0.485462,5.780589977,0.7621888,0.102551848
46,AM,1830.420662,1.614774164,0.614275,4.390930383,0.778612984,0.172353642
47,AM,1817.001686,1.562118818,0.628917,4.237990565,0.79041256,0.071270708
48,AM,1824.617985,0.98573652,0.79284,3.824566098,0.761436244,-0.05256946
49,AM,1818.258011,1.265726217,0.725454,3.634002832,0.787348359,-0.241535668
50,AM,1834.929753,1.682085547,0.58045,6.166528827,0.78933459,0.301100469
51,AM,1816.511614,1.447471109,0.669061,4.174489733,0.721216919,-0.225006009
52,AM,1808.412912,0.904998101,0.805912,4.36394551,0.68947691,-0.328089834
53,AM,1809.685875,1.118996683,0.757768,3.627159234,0.695829498,-0.484768464
54,AM,1823.00491,1.765048138,0.550083,5.610019327,0.776830875,0.426139502
55,AM,1815.629809,1.633014008,0.610778,5.553420645,0.815514624,0.237959636
56,AM,1808.478172,2.047788171,0.395347,5.319336886,0.799546307,0.081316757
57,AM,1804.661885,1.998530667,0.426226,2.785678925,0.779508582,-0.521397846
58,AM,1821.379693,1.531268314,0.646171,5.481180037,0.773827556,0.166991108
