file_name,IR_ID,X,Y,Z,Distance
1272-128104-0000,202,1.0,0.5,-0.3,1.1575836902790226
1272-128104-0001,92,-0.5,-1.5,0.0,1.5811388300841898
1272-128104-0003,30,-0.5,1.5,-0.6,1.6911534525287764
1272-128104-0005,216,0.0,-1.0,0.0,1.0
1272-128104-0006,247,1.75,-0.25,1.0,2.03100960115899
1272-128104-0007,112,1.5,-1.5,0.3,2.142428528562855
1272-128104-0008,92,-0.5,-1.5,0.0,1.5811388300841898
1272-128104-0010,200,-0.75,0.75,-0.3,1.1022703842524302
1272-128104-0012,75,-1.5,1.0,0.0,1.8027756377319946
1272-128104-0013,51,-1.5,1.0,-0.3,1.8275666882497066
1272-128104-0014,6,-0.5,1.5,-1.0,1.8708286933869707
1272-135031-0000,85,1.5,0.0,0.0,1.5
1272-135031-0001,164,-0.5,-1.5,1.0,1.8708286933869707
1272-135031-0002,131,1.5,1.0,0.6,1.9
1272-135031-0003,115,0.0,-1.5,0.3,1.5297058540778354
1272-135031-0004,13,1.5,0.0,-1.0,1.8027756377319946
1272-135031-0005,145,-1.5,0.0,1.0,1.8027756377319946
1272-135031-0006,131,1.5,1.0,0.6,1.9
1272-135031-0007,13,1.5,0.0,-1.0,1.8027756377319946
1272-135031-0008,181,-2.0,-1.5,-0.6,2.570992026436488
1272-135031-0009,29,-1.0,1.5,-0.6,1.9
1272-135031-0010,73,-1.5,0.0,0.0,1.5
1272-135031-0011,1,-1.5,0.0,-1.0,1.8027756377319946
1272-135031-0012,69,-1.0,-1.5,-0.3,1.8275666882497066
1272-135031-0013,149,-1.0,1.5,1.0,2.0615528128088303
1272-135031-0014,107,1.5,1.0,0.3,1.8275666882497066
1272-135031-0015,206,-2.0,0.75,0.0,2.1360009363293826
1272-135031-0016,148,-1.5,1.5,1.0,2.345207879911715
1272-135031-0017,167,-1.5,-1.0,1.0,2.0615528128088303
1272-135031-0018,155,1.5,1.0,1.0,2.0615528128088303
1272-135031-0019,242,-1.75,1.0,1.0,2.25
1272-135031-0020,63,1.5,-1.0,-0.3,1.8275666882497066
1272-135031-0021,5,-1.0,1.5,-1.0,2.0615528128088303
1272-135031-0022,22,-1.5,-1.5,-1.0,2.345207879911715
1272-135031-0023,167,-1.5,-1.0,1.0,2.0615528128088303
1272-141231-0000,87,1.5,-1.0,0.0,1.8027756377319946
1272-141231-0001,199,-1.5,1.25,-0.3,1.975474626513841
1272-141231-0003,62,1.5,-0.5,-0.3,1.6093476939431082
1272-141231-0004,4,-1.5,1.5,-1.0,2.345207879911715
1272-141231-0005,192,2.0,0.25,-0.6,2.102974084481309
1272-141231-0006,220,-0.75,-0.5,0.3,0.95
1272-141231-0007,170,-0.75,-1.25,-1.0,1.7677669529663689
1272-141231-0008,153,1.0,1.5,1.0,2.0615528128088303
1272-141231-0009,114,0.5,-1.5,0.3,1.6093476939431082
1272-141231-0010,198,-2.0,0.5,-0.3,2.083266665599966
1272-141231-0011,185,-2.0,-0.25,-0.6,2.102974084481309
1272-141231-0012,121,-1.5,0.0,0.6,1.6155494421403511
1272-141231-0013,32,0.5,1.5,-0.6,1.6911534525287764
1272-141231-0014,165,-1.0,-1.5,1.0,2.0615528128088303
1272-141231-0015,13,1.5,0.0,-1.0,1.8027756377319946
1272-141231-0016,145,-1.5,0.0,1.0,1.8027756377319946
1272-141231-0017,58,1.5,1.5,-0.3,2.142428528562855
1272-141231-0018,158,1.5,-0.5,1.0,1.8708286933869707
1272-141231-0019,240,0.75,-1.5,0.6,1.7811513130556875
1272-141231-0020,94,-1.5,-1.5,0.0,2.1213203435596424
1272-141231-0021,42,0.5,-1.5,-0.6,1.6911534525287764
1272-141231-0022,8,0.5,1.5,-1.0,1.8708286933869707
1272-141231-0023,141,-1.0,-1.5,0.6,1.9
1272-141231-0024,219,-1.5,-0.25,0.3,1.55
1272-141231-0025,88,1.5,-1.5,0.0,2.1213203435596424
1272-141231-0026,34,1.5,1.5,-0.6,2.2045407685048604
1272-141231-0027,227,-0.25,1.0,0.3,1.0735455276791945
1272-141231-0028,2,-1.5,0.5,-1.0,1.8708286933869707
1272-141231-0029,45,-1.0,-1.5,-0.6,1.9
1272-141231-0030,175,0.75,1.25,-1.0,1.7677669529663689
1272-141231-0031,92,-0.5,-1.5,0.0,1.5811388300841898
1272-141231-0032,71,-1.5,-1.0,-0.3,1.8275666882497066
1462-170138-0001,46,-1.5,-1.5,-0.6,2.2045407685048604
1462-170138-0002,78,-0.5,1.5,0.0,1.5811388300841898
1462-170138-0003,40,1.5,-1.5,-0.6,2.2045407685048604
1462-170138-0004,1,-1.5,0.0,-1.0,1.8027756377319946
1462-170138-0006,199,-1.5,1.25,-0.3,1.975474626513841
1462-170138-0007,83,1.5,1.0,0.0,1.8027756377319946
1462-170138-0008,56,0.5,1.5,-0.3,1.6093476939431082
1462-170138-0009,196,-0.25,-0.75,-0.3,0.8455767262643882
1462-170138-0010,23,-1.5,-1.0,-1.0,2.0615528128088303
1462-170138-0011,245,1.0,0.75,1.0,1.6007810593582121
1462-170138-0012,252,-1.5,-1.25,1.0,2.1937410968480306
1462-170138-0013,117,-1.0,-1.5,0.3,1.8275666882497066
1462-170138-0014,89,1.0,-1.5,0.0,1.8027756377319946
1462-170138-0015,235,0.75,0.75,0.6,1.218605760695394
1462-170138-0016,33,1.0,1.5,-0.6,1.9
1462-170138-0017,79,0.0,1.5,0.0,1.5
1462-170138-0018,27,-1.5,1.0,-0.6,1.9
1462-170138-0019,16,1.5,-1.5,-1.0,2.345207879911715
1462-170138-0020,36,1.5,0.5,-0.6,1.6911534525287764
1462-170138-0021,191,1.25,-0.5,-0.6,1.4739402972983675
1462-170138-0022,245,1.0,0.75,1.0,1.6007810593582121
1462-170138-0023,186,-1.75,1.25,-0.6,2.2327113561766105
1462-170138-0025,153,1.0,1.5,1.0,2.0615528128088303
1462-170138-0026,188,-1.25,0.75,-0.6,1.5763882770434445
1462-170138-0027,106,1.5,1.5,0.3,2.142428528562855
1462-170142-0000,42,0.5,-1.5,-0.6,1.6911534525287764
1462-170142-0001,203,1.5,-0.25,-0.3,1.55
1462-170142-0002,157,1.5,0.0,1.0,1.8027756377319946
1462-170142-0003,196,-0.25,-0.75,-0.3,0.8455767262643882
1462-170142-0004,95,-1.5,-1.0,0.0,1.8027756377319946
1462-170142-0005,140,-0.5,-1.5,0.6,1.6911534525287764
1462-170142-0006,251,-1.25,-1.25,1.0,2.03100960115899
1462-170142-0007,119,-1.5,-1.0,0.3,1.8275666882497066
1462-170142-0008,144,-1.5,-0.5,0.6,1.6911534525287764
1462-170142-0009,56,0.5,1.5,-0.3,1.6093476939431082
1462-170142-0010,78,-0.5,1.5,0.0,1.5811388300841898
1462-170142-0011,63,1.5,-1.0,-0.3,1.8275666882497066
1462-170142-0012,129,1.0,1.5,0.6,1.9
1462-170142-0013,9,1.0,1.5,-1.0,2.0615528128088303
1462-170142-0014,120,-1.5,-0.5,0.3,1.6093476939431082
1462-170142-0015,33,1.0,1.5,-0.6,1.9
1462-170142-0016,19,0.0,-1.5,-1.0,1.8027756377319946
1462-170142-0017,228,1.75,1.5,0.3,2.324327859833892
1462-170142-0018,128,0.5,1.5,0.6,1.6911534525287764
1462-170142-0019,146,-1.5,0.5,1.0,1.8708286933869707
1462-170142-0020,51,-1.5,1.0,-0.3,1.8275666882497066
1462-170142-0021,189,0.25,0.75,-0.6,0.9924716620639604
1462-170142-0022,135,1.5,-1.0,0.6,1.9
1462-170142-0023,28,-1.5,1.5,-0.6,2.2045407685048604
